image_name,x,y,frame_number,sequence_id,number_of_points,name,height
IMG_0061.JPG,1280.379282,1096.059259,0,0,1,,0.2
IMG_0061.JPG,1341.060764,420.9777778,0,1,1,,0.4
IMG_0074.JPG,57.2681713,1016.414815,13,2,1,,0.2
IMG_0074.JPG,83.81631944,383.0518519,13,3,1,,0.4
IMG_0078.JPG,667.8755787,910.2222222,17,4,1,,0.2
IMG_0078.JPG,683.0459491,477.8666667,17,5,1,,0.4
IMG_0082.JPG,1862.54213,902.637037,21,6,1,,0.2
IMG_0082.JPG,1885.297685,189.6296296,21,7,1,,0.6
IMG_0091.JPG,1314.393952,768.6831046,30,8,1,,0.2
IMG_0091.JPG,1318.587429,205.3593764,30,9,1,,0.8
IMG_0096.JPG,340.2273191,737.6327342,35,10,1,,0.2
IMG_0096.JPG,340.2273191,203.4589374,35,11,1,,0.8
IMG_0103.JPG,925.5345471,724.8387634,42,12,1,,0.2
IMG_0103.JPG,921.3410702,266.3519574,42,13,1,,1
IMG_0110.JPG,1630.473617,759.4944852,49,14,1,,0.2
IMG_0110.JPG,1627.677965,298.2120279,49,15,1,,1
IMG_0113.JPG,1133.42195,735.6158233,52,16,1,,0.2
IMG_0113.JPG,1159.729057,343.5550633,52,17,1,,1
IMG_0117.JPG,662.1360489,714.8747008,56,18,1,,0.2
IMG_0117.JPG,655.953735,319.721805,56,19,1,,1
IMG_0122.JPG,1114.952452,731.572327,61,20,1,,0.2
IMG_0122.JPG,1106.709366,473.9759151,61,21,1,,0.8
IMG_0126.JPG,1552.129685,746.2693992,65,22,1,,0.2
IMG_0126.JPG,1554.705649,484.5514447,65,23,1,,0.8
IMG_0132.JPG,1305.932113,730.4401705,71,24,1,,0.2
IMG_0132.JPG,1297.445949,423.2410469,71,25,1,,1
IMG_0135.JPG,808.4425455,709.0676751,74,26,1,,0.2
IMG_0135.JPG,805.8966964,403.5657843,74,27,1,,1
IMG_0140.JPG,471.6366276,704.8558587,79,28,1,,0.2
IMG_0140.JPG,484.0012554,390.5882362,79,29,1,,1
IMG_0451.JPG,925.771875,917.8074074,80,30,1,fox,
IMG_0461.JPG,612.2770945,747.9217648,81,31,3,fox,
IMG_0462.JPG,366.3572335,736.17153,82,31,3,fox,
IMG_0463.JPG,60.27013291,733.409145,83,31,3,fox,
IMG_3231.JPG,34.51261574,822.9925926,84,32,1,fox,
IMG_4311.JPG,1509.831134,883.6740741,85,33,1,fox,
IMG_4821.JPG,1164.705208,758.5185185,86,34,4,fox,
IMG_4822.JPG,1437.771875,796.4444444,87,34,4,fox,
IMG_4823.JPG,1669.119907,826.7851852,88,34,4,fox,
IMG_4824.JPG,1972.527315,864.7111111,89,34,4,fox,
IMG_4831.JPG,455.4903935,910.2222222,90,35,5,hedgehog,
IMG_4832.JPG,341.7126157,944.3555556,91,35,5,hedgehog,
IMG_4833.JPG,227.934838,978.4888889,92,35,5,hedgehog,
IMG_4834.JPG,57.26817116,1024,93,35,5,hedgehog,
IMG_4835.JPG,-26.16886574,1084.681481,94,35,5,hedgehog,
IMG_7034.JPG,1282.275579,906.4296296,95,36,1,fox,
IMG_7054.JPG,391.0163194,929.1851852,96,37,1,fox,
IMG_7744.JPG,1172.290394,876.0888889,97,38,2,fox,
IMG_7745.JPG,2222.838426,826.7851852,98,38,2,fox,
