image_name,x,y,frame_number,sequence_id,number_of_points,name,height
IMG_0141.JPG,1147.638542,792.6518519,0,0,1,,0.2
IMG_0141.JPG,1143.845949,81.63832712,0,1,1,,0.6
IMG_0142.JPG,1248.142245,830.5777778,1,2,1,,0.2
IMG_0142.JPG,1206.423727,185.837037,1,3,1,,0.6
IMG_0147.JPG,573.0607639,864.7111111,6,4,1,,0.2
IMG_0147.JPG,592.0237269,292.0296296,6,5,1,,0.6
IMG_0155.JPG,511.7832254,856.7145028,9,6,1,,0.2
IMG_0155.JPG,506.1919229,318.551636,9,7,1,,0.8
IMG_0159.JPG,1078.858639,830.1272886,13,8,1,,0.2
IMG_0159.JPG,1075.464173,326.897785,13,9,1,,0.8
IMG_0163.JPG,1590.655807,795.2036156,17,10,1,,0.2
IMG_0163.JPG,1551.501152,312.4679397,17,11,1,,0.8
IMG_0167.JPG,1500.611812,784.4058527,21,12,1,,0.2
IMG_0167.JPG,1487.882566,422.8952818,21,13,1,,0.8
IMG_0169.JPG,1070.959281,811.7610781,23,14,1,,0.2
IMG_0169.JPG,1061.624501,473.163149,23,15,1,,0.8
IMG_0173.JPG,554.9298435,846.4060481,27,16,1,,0.2
IMG_0173.JPG,545.6563727,508.4395558,27,17,1,,0.8
IMG_0176.JPG,35.75935924,877.5342578,30,18,1,,0.2
IMG_0176.JPG,40.85105742,538.9363287,30,19,1,,0.8
IMG_0180.JPG,203.0238131,857.9265331,34,20,1,,0.2
IMG_0180.JPG,177.264172,575.0856729,34,21,1,,0.8
IMG_0183.JPG,567.0013392,836.782602,37,22,1,,0.2
IMG_0183.JPG,538.5390649,557.4769867,37,23,1,,0.8
IMG_0186.JPG,925.771875,810.6330067,40,24,1,,0.2
IMG_0186.JPG,903.1033908,531.3984962,40,25,1,,0.8
IMG_0189.JPG,1298.628154,784.7932201,43,26,1,,0.2
IMG_0189.JPG,1251.852763,508.2752989,43,27,1,,0.8
IMG_0192.JPG,854.4454868,805.500237,46,28,1,,0.2
IMG_0192.JPG,840.5352806,569.5419237,46,29,1,,0.8
IMG_0195.JPG,317.8903897,838.7144564,49,30,1,,0.2
IMG_0195.JPG,297.2826767,521.355677,49,31,1,,1
IMG_0210.JPG,514.4835894,857.3121688,53,32,1,,0.2
IMG_0210.JPG,462.964307,146.8612648,53,33,1,,1
IMG_0251.JPG,914.3940972,1240.177778,54,34,2,hedgehog,
IMG_0252.JPG,292.408912,1270.518519,55,34,2,hedgehog,
