x,y,frame_number,sequence_id,sequence_annotation,number_of_points,filename,file_last_mod_date
2063.1,1648.4,2,0,0.2,1,IMG_0047.JPG,Wed Aug 15 2018 14:47:56 GMT+0100 (British Summer Time)
2008.5,57.2,2,1,0.4,1,IMG_0047.JPG,Wed Aug 15 2018 14:47:56 GMT+0100 (British Summer Time)
1724.557459,1139.779828,13,2,0.2,1,IMG_0058.JPG,Wed Aug 15 2018 14:48:20 GMT+0100 (British Summer Time)
1725.67744,569.7095519,13,3,0.4,1,IMG_0058.JPG,Wed Aug 15 2018 14:48:20 GMT+0100 (British Summer Time)
1457.34122,736.7604954,29,4,0.4,1,IMG_0074.JPG,Wed Aug 15 2018 14:48:44 GMT+0100 (British Summer Time)
1431.021669,213.1694264,29,5,0.8,1,IMG_0074.JPG,Wed Aug 15 2018 14:48:44 GMT+0100 (British Summer Time)
2630.269385,902.9997975,31,6,0.2,1,IMG_0076.JPG,Wed Aug 15 2018 14:48:50 GMT+0100 (British Summer Time)
2600.03616,153.6017734,31,7,0.8,1,IMG_0076.JPG,Wed Aug 15 2018 14:48:50 GMT+0100 (British Summer Time)
332.1339309,1016.885571,39,8,0.2,1,IMG_0084.JPG,Wed Aug 15 2018 14:49:00 GMT+0100 (British Summer Time)
319.2687288,54.56845148,39,9,1,1,IMG_0084.JPG,Wed Aug 15 2018 14:49:00 GMT+0100 (British Summer Time)
