x,y,frame_number,sequence_id,sequence_annotation,number_of_points,filename,file_last_mod_date
2314.400067,932.237688,122,0,0.2,1,IMG_0161.JPG,Tue Aug 14 2018 15:48:34 GMT+0100 (British Summer Time)
2298.030328,250.1652331,122,1,0.4,1,IMG_0161.JPG,Tue Aug 14 2018 15:48:34 GMT+0100 (British Summer Time)
4545.469896,929.9247142,124,2,0.2,1,IMG_0163.JPG,Tue Aug 14 2018 15:48:36 GMT+0100 (British Summer Time)
4514.130076,298.949666,124,3,0.4,1,IMG_0163.JPG,Tue Aug 14 2018 15:48:36 GMT+0100 (British Summer Time)
3092.056301,694.4605757,134,4,0.4,1,IMG_0173.JPG,Tue Aug 14 2018 15:51:30 GMT+0100 (British Summer Time)
3158.053587,45.84400913,134,5,1,1,IMG_0173.JPG,Tue Aug 14 2018 15:51:30 GMT+0100 (British Summer Time)
