x,y,frame_number,sequence_id,sequence_annotation,number_of_points,filename,file_last_mod_date
1368,1301.333333,2,0,0.2,1,09030346.JPG,Mon Sep 03 2018 09:33:56 GMT+0100 (British Summer Time)
1388,569.3333333,2,1,0.4,1,09030346.JPG,Mon Sep 03 2018 09:33:56 GMT+0100 (British Summer Time)
845.3244607,1263.358681,14,2,0.2,1,09030358.JPG,Mon Sep 03 2018 09:34:20 GMT+0100 (British Summer Time)
832.2111508,151.4244778,14,3,0.6,1,09030358.JPG,Mon Sep 03 2018 09:34:20 GMT+0100 (British Summer Time)
303.6572474,1224.513339,16,4,0.2,1,09030360.JPG,Mon Sep 03 2018 09:34:22 GMT+0100 (British Summer Time)
330.9401456,93.78878017,16,5,0.6,1,09030360.JPG,Mon Sep 03 2018 09:34:22 GMT+0100 (British Summer Time)
1677.625103,1208.40804,19,6,0.2,1,09030363.JPG,Mon Sep 03 2018 09:34:30 GMT+0100 (British Summer Time)
1693.792746,105.9768574,19,7,0.6,1,09030363.JPG,Mon Sep 03 2018 09:34:30 GMT+0100 (British Summer Time)
1911.620447,1289.75953,22,8,0.2,1,09030366.JPG,Mon Sep 03 2018 09:34:32 GMT+0100 (British Summer Time)
1899.686766,243.2372206,22,9,0.6,1,09030366.JPG,Mon Sep 03 2018 09:34:32 GMT+0100 (British Summer Time)
919.6440775,990.8678597,41,10,0.2,1,09030385.JPG,Mon Sep 03 2018 09:34:44 GMT+0100 (British Summer Time)
958.0722254,135.6504091,41,11,0.8,1,09030385.JPG,Mon Sep 03 2018 09:34:44 GMT+0100 (British Summer Time)
1756.85338,933.1282823,44,12,0.2,1,09030388.JPG,Mon Sep 03 2018 09:34:52 GMT+0100 (British Summer Time)
1677.35081,77.70949019,44,13,1,1,09030388.JPG,Mon Sep 03 2018 09:34:52 GMT+0100 (British Summer Time)
64.20984274,764.8618519,46,14,0.2,1,09030390.JPG,Mon Sep 03 2018 09:35:02 GMT+0100 (British Summer Time)
81.80792718,127.0249872,46,15,1,1,09030390.JPG,Mon Sep 03 2018 09:35:02 GMT+0100 (British Summer Time)
