x,y,frame_number,sequence_id,sequence_annotation,number_of_points,filename,file_last_mod_date
136.5333333,1379.555556,11,0,0.2,1,IMG_0075.JPG,Mon Sep 03 2018 07:24:38 GMT+0100 (British Summer Time)
196.2666667,571.7333333,11,1,0.4,1,IMG_0075.JPG,Mon Sep 03 2018 07:24:38 GMT+0100 (British Summer Time)
1851.733333,819.2,15,2,0.4,1,IMG_0079.JPG,Mon Sep 03 2018 07:24:42 GMT+0100 (British Summer Time)
1843.2,45.51111111,15,3,0.6,1,IMG_0079.JPG,Mon Sep 03 2018 07:24:42 GMT+0100 (British Summer Time)
989.4437025,1117.866667,18,4,0.2,1,IMG_0082.JPG,Mon Sep 03 2018 07:24:44 GMT+0100 (British Summer Time)
1056.42558,237.3000344,18,5,0.6,1,IMG_0082.JPG,Mon Sep 03 2018 07:24:44 GMT+0100 (British Summer Time)
292.3667356,1036.802837,20,6,0.2,1,IMG_0084.JPG,Mon Sep 03 2018 07:24:46 GMT+0100 (British Summer Time)
388.294753,173.4506811,20,7,0.6,1,IMG_0084.JPG,Mon Sep 03 2018 07:24:46 GMT+0100 (British Summer Time)
1005.002492,944.9389708,31,8,0.2,1,IMG_0095.JPG,Mon Sep 03 2018 07:24:56 GMT+0100 (British Summer Time)
1062.667087,79.97005021,31,9,1,1,IMG_0095.JPG,Mon Sep 03 2018 07:24:56 GMT+0100 (British Summer Time)
150.2755004,827.8607979,33,10,0.2,1,IMG_0097.JPG,Mon Sep 03 2018 07:24:58 GMT+0100 (British Summer Time)
275.6623075,90.24329423,33,11,1,1,IMG_0097.JPG,Mon Sep 03 2018 07:24:58 GMT+0100 (British Summer Time)
1808.012064,966.3375615,38,12,0.2,1,IMG_0102.JPG,Mon Sep 03 2018 07:25:06 GMT+0100 (British Summer Time)
1756.958803,392.9073427,38,13,1,1,IMG_0102.JPG,Mon Sep 03 2018 07:25:06 GMT+0100 (British Summer Time)
