x,y,frame_number,sequence_id,sequence_annotation,number_of_points,filename,file_last_mod_date
856.5403423,842.1393004,5,0,0.2,1,IMG_0051.JPG,Fri Aug 31 2018 10:56:48 GMT+0100 (British Summer Time)
831.7499558,70.40378996,5,1,0.4,1,IMG_0051.JPG,Fri Aug 31 2018 10:56:48 GMT+0100 (British Summer Time)
178.4416745,829.9943695,7,2,0.2,1,IMG_0053.JPG,Fri Aug 31 2018 10:56:50 GMT+0100 (British Summer Time)
191.5781088,79.34098021,7,3,0.4,1,IMG_0053.JPG,Fri Aug 31 2018 10:56:50 GMT+0100 (British Summer Time)
1462.390496,841.79592,11,4,0.2,1,IMG_0057.JPG,Fri Aug 31 2018 10:56:52 GMT+0100 (British Summer Time)
1417.351292,160.5779693,11,5,0.4,1,IMG_0057.JPG,Fri Aug 31 2018 10:56:52 GMT+0100 (British Summer Time)
1467.564474,686.0711692,17,6,0.2,1,IMG_0063.JPG,Fri Aug 31 2018 10:57:04 GMT+0100 (British Summer Time)
1403.850005,71.79834224,17,7,0.6,1,IMG_0063.JPG,Fri Aug 31 2018 10:57:04 GMT+0100 (British Summer Time)
1932.743386,694.064762,19,8,0.2,1,IMG_0065.JPG,Fri Aug 31 2018 10:57:06 GMT+0100 (British Summer Time)
1880.197649,129.1980866,19,9,0.6,1,IMG_0065.JPG,Fri Aug 31 2018 10:57:06 GMT+0100 (British Summer Time)
884.7614644,619.5686486,21,10,0.2,1,IMG_0067.JPG,Fri Aug 31 2018 10:57:08 GMT+0100 (British Summer Time)
906.8164728,186.6370019,21,11,0.6,1,IMG_0067.JPG,Fri Aug 31 2018 10:57:08 GMT+0100 (British Summer Time)
417.8617688,608.7397881,22,12,0.2,1,IMG_0068.JPG,Fri Aug 31 2018 10:57:08 GMT+0100 (British Summer Time)
463.6700917,199.1594892,22,13,0.6,1,IMG_0068.JPG,Fri Aug 31 2018 10:57:08 GMT+0100 (British Summer Time)
1460.283587,620.5374869,26,14,0.2,1,IMG_0072.JPG,Fri Aug 31 2018 10:57:16 GMT+0100 (British Summer Time)
1396.947207,136.3660508,26,15,0.8,1,IMG_0072.JPG,Fri Aug 31 2018 10:57:16 GMT+0100 (British Summer Time)
1869.202136,623.2167073,28,16,0.2,1,IMG_0074.JPG,Fri Aug 31 2018 10:57:18 GMT+0100 (British Summer Time)
1826.79665,165.4231844,28,17,0.8,1,IMG_0074.JPG,Fri Aug 31 2018 10:57:18 GMT+0100 (British Summer Time)
965.8856213,571.2440093,33,18,0.2,1,IMG_0079.JPG,Fri Aug 31 2018 10:57:22 GMT+0100 (British Summer Time)
978.0329476,132.306366,33,19,1,1,IMG_0079.JPG,Fri Aug 31 2018 10:57:22 GMT+0100 (British Summer Time)
