"frame_number","x","y","sequence_id","sequence_annotation","number_of_points","still_file","Path","site_id","xdim","ydim","sequence_id_original","pole_id"
9,2055.866667,1174.133333,32,"20",1,NA,NA,"OCPD57b",3264,2448,4,"OCPD57b_9"
9,2060.4,997.3333333,33,"40",1,NA,NA,"OCPD57b",3264,2448,5,"OCPD57b_9"
10,2237.2,1160.533333,34,"20",1,NA,NA,"OCPD57b",3264,2448,6,"OCPD57b_10"
10,2241.733333,1015.466667,35,"40",1,NA,NA,"OCPD57b",3264,2448,7,"OCPD57b_10"
23,2832.545034,522.9467205,36,"80",1,NA,NA,"OCPD57b",3264,2448,8,"OCPD57b_23"
23,2843.439584,748.1007631,37,"60",1,NA,NA,"OCPD57b",3264,2448,9,"OCPD57b_23"
25,2730.862563,1191.145815,38,"20",1,NA,NA,"OCPD57b",3264,2448,10,"OCPD57b_25"
25,2716.336496,918.7820535,39,"40",1,NA,NA,"OCPD57b",3264,2448,11,"OCPD57b_25"
27,3242.906434,1231.0925,40,"20",1,NA,NA,"OCPD57b",3264,2448,12,"OCPD57b_27"
27,3246.537951,780.7844144,41,"40",1,NA,NA,"OCPD57b",3264,2448,13,"OCPD57b_27"
29,2545.655205,1303.722836,42,"20",1,NA,NA,"OCPD57b",3264,2448,14,"OCPD57b_29"
29,2578.338857,693.6280108,43,"40",1,NA,NA,"OCPD57b",3264,2448,15,"OCPD57b_29"
37,355.8505647,1158.462163,44,"20",1,NA,NA,"OCPD57b",3264,2448,16,"OCPD57b_37"
37,352.2190479,813.4680658,45,"40",1,NA,NA,"OCPD57b",3264,2448,17,"OCPD57b_37"
41,838.8423013,849.783234,46,"40",1,NA,NA,"OCPD57b",3264,2448,18,"OCPD57b_41"
41,856.9998854,639.1552586,47,"60",1,NA,NA,"OCPD57b",3264,2448,19,"OCPD57b_41"
48,2611.022508,1241.98705,48,"20",1,NA,NA,"OCPD57b",3264,2448,20,"OCPD57b_48"
48,2611.022508,922.4135703,49,"40",1,NA,NA,"OCPD57b",3264,2448,21,"OCPD57b_48"
55,846.105335,1183.882781,50,"20",1,NA,NA,"OCPD57b",3264,2448,22,"OCPD57b_55"
55,838.8423013,889.7299189,51,"40",1,NA,NA,"OCPD57b",3264,2448,23,"OCPD57b_55"
