frame_number,x,y,sequence_id,sequence_annotation,number_of_points,still_file,Path,CTsite,CT_serial_number,Folder,xres,yres,Camera_ID
8,571.1111111,354.6666667,1,Lt,7,a(24)_09.jpeg,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,640,480,B11
22,336.4444444,325.3333333,2,Mt,1,PICT0020_01.jpeg,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,640,480,B11
22,335.5555556,325.3333333,3,Mt,6,PICT0020_01.jpeg,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,640,480,B11
23,332.8888889,332.4444444,3,Mt,6,PICT0020_02.jpeg,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,640,480,B11
24,309.7777778,342.2222222,3,Mt,6,PICT0020_03.jpeg,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,640,480,B11
25,298.2222222,354.6666667,3,Mt,6,PICT0020_04.jpeg,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,640,480,B11
34,299.1111111,357.3333333,3,Mt,6,PICT0020_13.jpeg,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,640,480,B11
43,299.1111111,357.3333333,3,Mt,6,PICT0020_22.jpeg,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,640,480,B11
84,1046.325429,1819.617067,4,20,1,PICT0076.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11
84,1130.291162,529.5980774,5,40,1,PICT0076.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11
87,1263.87301,1399.788402,6,20,1,PICT0079.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11
