"species","frame_number","x","y","sequence_id","number_of_points","still_file","Path","site_id","CT_serial_number","Folder","xdim","ydim","cam_id","file_name","file_id","Time","Date","PA_cat","Dig","radius","angle","pixdiff","dist","time","speed","frames"
"Da",126,607.558858,220.234426,"OCPD62_12",17,"a(13)_01.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","a(13)","a(13)_OCPD62","06:31","05/06/2015","multiple-use","Y",5.15129439335522,0.265606437047558,618.869052976243,3.97197829708266,8,0.496497287135333,17
"Da",147,302.9756417,317.2334508,"OCPD62_14",5,"a(17)_01.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","a(17)","a(17)_OCPD62","09:16","15/06/2015","multiple-use","Y",2.45287803279361,-0.0611815580155341,294.592617592121,0.833901938603178,2.5,0.333560775441271,5
"Lt",168,229.4736911,382.2134425,"OCPD62_16",18,"a(23)_01.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","a(23)","a(23)_OCPD62","04:01","18/06/2015","multiple-use","Y",1.77003341434229,-0.140041960639106,239.468480977043,2.26071191173579,9.5,0.237969674919557,18
"Da",192,741.7553158,263.2005303,"OCPD62_18",11,"a(24)_05.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","a(24)","a(24)_OCPD62","17:54","22/06/2015","multiple-use","Y",3.14442016288569,0.409586108421955,371.968531977112,1.43303251728598,7.5,0.191071002304797,11
"Da",208,647.5616187,221.9907878,"OCPD62_20",10,"a(26)_01.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","a(26)","a(26)_OCPD62","06:24","26/06/2015","multiple-use","Y",4.92734925051834,0.308525485985783,105.148804809274,0.810176172960727,10,0.0810176172960727,10
"Da",233,758.2392339,282.0392697,"OCPD62_22",9,"a(28)_05.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","a(28)","a(28)_OCPD62","17:10","26/06/2015","multiple-use","Y",2.71934469014313,0.427271739994568,138.335414895024,0.457171162957278,8,0.0571463953696598,9
"Da",250,489.7871762,473.9589274,"OCPD62_24",6,"a(29)_01.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","a(29)","a(29)_OCPD62","16:33","27/06/2015","multiple-use","Y",1.20968261341175,0.139248943558084,241.732217378741,0.343244384446078,2.5,0.137297753778431,6
"Da",271,619.3035096,356.2168061,"OCPD62_26",9,"a(32)_01.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","a(32)","a(32)_OCPD62","16:43","27/06/2015","multiple-use","Y",1.84746478398728,0.278207299287119,421.429981725169,1.20830918848918,10,0.120830918848918,9
"Da",292,188.3673457,342.0877516,"OCPD62_28",10,"PICT0009_01.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","PICT0009","PICT0009_OCPD62","07:43","22/04/2015","multiple-use","Y",2.18138750608675,-0.184145048001628,509.017639266043,1.2620231486368,5.5,0.229458754297599,10
"Da",21,652.7948729,415.3207344,"OCPD62_3",12,"a(07)_01.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","a(7)","a(7)_OCPD62","16:00","02/06/2015","multiple-use","Y",1.43830570627359,0.314140255796307,382.410480382615,0.934474593331031,10,0.0934474593331031,12
