"species","frame_number","x","y","sequence_id","number_of_points","still_file","Path","site_id","CT_serial_number","Folder","xdim","ydim","cam_id","file_name","file_id","Time","Date","PA_cat","Dig","radius","angle","dtime","rtime","absangle"
"Mt",0,668.4444444,280,"OCGSV28_0",1,"PICT0025_01.jpeg","F:\Stills\PNGSV\OCGSV28Stills\","OCGSV28","B100817020","OCGSV28Stills",720,480,"B10","PICT0025","PICT0025_OCGSV28","21:26","26/04/2017","strict","Y",1.30042295478008,0.330930715087552,0.893055555555556,5.61123354516177,0.330930715087552
"Mt",22,37.59608312,308.6925733,"OCGSV29_0",1,"a(12)_01.jpeg","F:\Stills\PNGSV\OCGSV29Stills\","OCGSV29","B121000478","OCGSV29Stills",720,480,"B12","a(12)","a(12)_OCGSV29","20:24","01/06/2017","strict","Y",1.33705963967273,-0.343981130348095,0.85,5.34070751110265,0.343981130348095
"Mt",108,-618.6373902,828.4472075,"OCGSV29_2",1,"PICT0033_01.jpeg","F:\Stills\PNGSV\OCGSV29Stills\","OCGSV29","B121000478","OCGSV29Stills",720,480,"B12","PICT0033","PICT0033_OCGSV29","23:10","13/05/2017","strict","Y",0.242486292978803,-1.04413370327384,0.965277777777778,6.0650191506803,1.04413370327384
"Mt",119,-31.88611187,424.3228148,"OCGSV29_3",1,"PICT0033_12.jpeg","F:\Stills\PNGSV\OCGSV29Stills\","OCGSV29","B121000478","OCGSV29Stills",720,480,"B12","PICT0033","PICT0033_OCGSV29","23:10","13/05/2017","strict","Y",0.680453524397383,-0.418113492643876,0.965277777777778,6.0650191506803,0.418113492643876
"Mt",0,235.5555556,377.7777778,"OCGSV30_0",1,"a(155)_01.jpeg","F:\Stills\PNGSV\OCGSV30Stills\","OCGSV30","B100815356","OCGSV30Stills",720,480,"B10","a(155)","a(155)_OCGSV30","00:47","10/06/2017","strict","Y",0.750238886172584,-0.133516714992468,0.0326388888888889,0.205076187109334,0.133516714992468
"Mt",21,389.7777778,227.5555556,"OCGSV30_1",1,"a(174)_01.jpeg","F:\Stills\PNGSV\OCGSV30Stills\","OCGSV30","B100815356","OCGSV30Stills",720,480,"B10","a(174)","a(174)_OCGSV30","01:51","15/06/2017","strict","Y",2.76902187686288,0.0319486425513075,0.0770833333333333,0.484328867428426,0.0319486425513075
"Mt",63,319.5555556,259.5555556,"OCGSV30_3",1,"PICT0163_01.jpeg","F:\Stills\PNGSV\OCGSV30Stills\","OCGSV30","B100815356","OCGSV30Stills",720,480,"B10","PICT0163","PICT0163_OCGSV30","23:36","01/05/2017","strict","Y",1.75706878318155,-0.0433929323403652,0.983333333333333,6.17846555205993,0.0433929323403652
"Mt",83,637.9133223,285.402066,"OCGSV30_4",1,"PICT0229_01.jpeg","F:\Stills\PNGSV\OCGSV30Stills\","OCGSV30","B100815356","OCGSV30Stills",720,480,"B10","PICT0229","PICT0229_OCGSV30","21:52","11/05/2017","strict","Y",1.3751017766814,0.29817380779868,0.911111111111111,5.7246799465414,0.29817380779868
"Lt",0,505.7777778,303.1111111,"OCGSV32_0",1,"EK000016_01.jpeg","F:\Stills\PNGSV\OCGSV32Stills\","OCGSV32","B13200699","OCGSV32Stills",720,480,"B13","EK000016","EK000016_OCGSV32","03:17","20/04/2017","strict","Y",2.39700993228606,0.156168412933584,0.136805555555556,0.859574656607207,0.156168412933584
"Mt",0,479.7486665,381.1894042,"OCGSV34_0",1,"PICT0018_01.jpeg","F:\Stills\PNGSV\OCGSV34Stills\","OCGSV34","B121000453","OCGSV34Stills",720,480,"B12","PICT0018","PICT0018_OCGSV34","09:34","19/04/2017","strict","Y",1.29995796064396,0.127762969069878,0.398611111111111,2.50454747661186,0.127762969069878
"Mt",0,777.9626239,307.0372474,"OCGSV36_0",1,"EK000040_01.jpeg","F:\Stills\PNGSV\OCGSV36Stills\","OCGSV36","B131200437","OCGSV36Stills",720,480,"B13","EK000040","EK000040_OCGSV36","04:38","22/04/2017","strict","Y",2.50449117065312,0.44775383892578,0.193055555555556,1.21300383013606,0.44775383892578
"Mt",22,808.9048574,599.2470204,"OCGSV36_1",1,"EK000041_01.jpeg","F:\Stills\PNGSV\OCGSV36Stills\","OCGSV36","B131200437","OCGSV36Stills",720,480,"B13","EK000041","EK000041_OCGSV36","04:39","22/04/2017","strict","Y",1.05666567975325,0.480901548893927,0.19375,1.21736715326604,0.480901548893927
