x,y,frame_number,sequence_id,sequence_annotation,number_of_points,filename,file_last_mod_date
2659.982286,677.0862331,0,0,Fox,4,IMG_0197.JPG,Tue Aug 21 2018 05:05:10 GMT+0100 (British Summer Time)
2642.703117,910.3550127,1,0,Fox,4,IMG_0198.JPG,Tue Aug 21 2018 05:05:10 GMT+0100 (British Summer Time)
2845.817418,1899.461903,2,0,Fox,4,IMG_0199.JPG,Tue Aug 21 2018 05:05:12 GMT+0100 (British Summer Time)
1409.269155,2237.915682,3,0,Fox,4,IMG_0200.JPG,Tue Aug 21 2018 05:05:12 GMT+0100 (British Summer Time)
3173.971538,519.6902166,4,1,Fox,1,IMG_0203.JPG,Fri Aug 24 2018 01:55:14 GMT+0100 (British Summer Time)
3158.844156,2684.443901,5,2,Fox,1,IMG_0261.JPG,Thu Aug 30 2018 03:02:54 GMT+0100 (British Summer Time)
