x,y,frame_number,sequence_id,sequence_annotation,number_of_points,filename,file_last_mod_date
1653.6,1972.1,0,0,Badger,6,IMG_0068.JPG,Tue Aug 21 2018 02:57:28 GMT+0100 (British Summer Time)
1591.2,1734.2,1,0,Badger,6,IMG_0069.JPG,Tue Aug 21 2018 02:57:30 GMT+0100 (British Summer Time)
1368.9,1714.7,2,0,Badger,6,IMG_0070.JPG,Tue Aug 21 2018 02:57:30 GMT+0100 (British Summer Time)
1298.7,1722.5,3,0,Badger,6,IMG_0071.JPG,Tue Aug 21 2018 02:57:30 GMT+0100 (British Summer Time)
1318.2,1753.7,4,0,Badger,6,IMG_0072.JPG,Tue Aug 21 2018 02:57:32 GMT+0100 (British Summer Time)
1560,1862.9,5,0,Badger,6,IMG_0073.JPG,Tue Aug 21 2018 02:57:36 GMT+0100 (British Summer Time)
3443.38197,2465.236839,6,1,Fox,4,IMG_0253.JPG,Sun Aug 26 2018 00:20:24 GMT+0100 (British Summer Time)
2383.289315,2032.966047,7,1,Fox,4,IMG_0254.JPG,Sun Aug 26 2018 00:20:24 GMT+0100 (British Summer Time)
1070.761949,1564.245809,8,1,Fox,4,IMG_0255.JPG,Sun Aug 26 2018 00:20:26 GMT+0100 (British Summer Time)
707.4811991,1486.157423,9,1,Fox,4,IMG_0256.JPG,Sun Aug 26 2018 00:20:26 GMT+0100 (British Summer Time)
1184.97605,1761.070847,10,2,Badger,4,IMG_0285.JPG,Mon Aug 27 2018 02:17:04 GMT+0100 (British Summer Time)
1573.505155,1892.295909,11,2,Badger,4,IMG_0286.JPG,Mon Aug 27 2018 02:17:04 GMT+0100 (British Summer Time)
2244.810008,2158.000761,12,2,Badger,4,IMG_0287.JPG,Mon Aug 27 2018 02:17:06 GMT+0100 (British Summer Time)
2939.530923,2384.428319,13,2,Badger,4,IMG_0288.JPG,Mon Aug 27 2018 02:17:06 GMT+0100 (British Summer Time)
570.371757,2433.638271,16,3,Fox,7,IMG_0329.JPG,Tue Aug 28 2018 19:47:18 GMT+0100 (British Summer Time)
556.7911682,2454.009154,17,3,Fox,7,IMG_0330.JPG,Tue Aug 28 2018 19:47:18 GMT+0100 (British Summer Time)
556.7911682,2454.009154,18,3,Fox,7,IMG_0331.JPG,Tue Aug 28 2018 19:47:20 GMT+0100 (British Summer Time)
658.6455841,2460.799449,19,3,Fox,7,IMG_0332.JPG,Tue Aug 28 2018 19:47:20 GMT+0100 (British Summer Time)
821.6126495,2406.477094,20,3,Fox,7,IMG_0333.JPG,Tue Aug 28 2018 19:47:22 GMT+0100 (British Summer Time)
1358.045907,2352.154738,21,3,Fox,7,IMG_0334.JPG,Tue Aug 28 2018 19:47:22 GMT+0100 (British Summer Time)
2335.848299,2250.300323,22,3,Fox,7,IMG_0335.JPG,Tue Aug 28 2018 19:47:22 GMT+0100 (British Summer Time)
439.6523458,1834.805014,24,4,Badger,3,IMG_0337.JPG,Tue Aug 28 2018 23:18:08 GMT+0100 (British Summer Time)
533.2523458,1881.605014,25,4,Badger,3,IMG_0338.JPG,Tue Aug 28 2018 23:18:08 GMT+0100 (British Summer Time)
903.7523458,1994.705014,26,4,Badger,3,IMG_0339.JPG,Tue Aug 28 2018 23:18:10 GMT+0100 (British Summer Time)
446.55,1450.004853,27,5,Badger,12,IMG_0364.JPG,Wed Aug 29 2018 21:40:40 GMT+0100 (British Summer Time)
606.45,1469.504853,28,5,Badger,12,IMG_0365.JPG,Wed Aug 29 2018 21:40:40 GMT+0100 (British Summer Time)
