x,y,frame_number,sequence_id,sequence_annotation,number_of_points,filename,file_last_mod_date
1014.666667,997.3333333,0,0,Badger,4,09030511.JPG,Mon Sep 03 2018 03:00:50 GMT+0100 (British Summer Time)
1257.333333,1024,1,0,Badger,4,09030512.JPG,Mon Sep 03 2018 03:00:56 GMT+0100 (British Summer Time)
1573.333333,1025.333333,2,0,Badger,4,09030513.JPG,Mon Sep 03 2018 03:01:04 GMT+0100 (British Summer Time)
1708,1036,3,0,Badger,4,09030514.JPG,Mon Sep 03 2018 03:01:08 GMT+0100 (British Summer Time)
1824.509424,1719.197604,4,1,Badger,6,09030515.JPG,Mon Sep 03 2018 03:01:50 GMT+0100 (British Summer Time)
807.7063843,1598.481327,5,1,Badger,6,09030516.JPG,Mon Sep 03 2018 03:01:50 GMT+0100 (British Summer Time)
594.1312758,1579.909574,6,1,Badger,6,09030517.JPG,Mon Sep 03 2018 03:01:50 GMT+0100 (British Summer Time)
227.339324,1547.408959,7,1,Badger,6,09030518.JPG,Mon Sep 03 2018 03:01:52 GMT+0100 (British Summer Time)
69.47948857,1505.622532,8,1,Badger,6,09030519.JPG,Mon Sep 03 2018 03:01:52 GMT+0100 (British Summer Time)
-162.6673283,1454.550232,9,1,Badger,6,09030520.JPG,Mon Sep 03 2018 03:01:52 GMT+0100 (British Summer Time)
