x,y,frame_number,sequence_id,sequence_annotation,number_of_points,filename,file_last_mod_date
1832.769317,1383.999898,0,0,Fox,5,IMG_0638.JPG,Thu Aug 16 2018 21:09:54 GMT+0100 (British Summer Time)
1883.015322,1385.477722,1,0,Fox,5,IMG_0639.JPG,Thu Aug 16 2018 21:09:54 GMT+0100 (British Summer Time)
1883.015322,1385.477722,2,0,Fox,5,IMG_0640.JPG,Thu Aug 16 2018 21:09:56 GMT+0100 (British Summer Time)
3606.371067,1397.245198,3,0,Fox,5,IMG_0641.JPG,Thu Aug 16 2018 21:10:02 GMT+0100 (British Summer Time)
3734.04889,1392.765275,4,0,Fox,5,IMG_0642.JPG,Thu Aug 16 2018 21:10:04 GMT+0100 (British Summer Time)
2649.150822,1321.566797,5,1,Fox,9,IMG_0650.JPG,Thu Aug 16 2018 21:52:48 GMT+0100 (British Summer Time)
2382.841138,1339.57808,6,1,Fox,9,IMG_0651.JPG,Thu Aug 16 2018 21:52:48 GMT+0100 (British Summer Time)
1926.126462,1333.145479,7,1,Fox,9,IMG_0652.JPG,Thu Aug 16 2018 21:52:50 GMT+0100 (British Summer Time)
1376.782331,1335.71852,8,1,Fox,9,IMG_0653.JPG,Thu Aug 16 2018 21:52:50 GMT+0100 (British Summer Time)
1080.882682,1317.707237,9,1,Fox,9,IMG_0654.JPG,Thu Aug 16 2018 21:52:50 GMT+0100 (British Summer Time)
878.8990085,1308.701595,10,1,Fox,9,IMG_0655.JPG,Thu Aug 16 2018 21:52:52 GMT+0100 (British Summer Time)
552.1228744,1291.976832,11,1,Fox,9,IMG_0656.JPG,Thu Aug 16 2018 21:52:52 GMT+0100 (British Summer Time)
1640.518975,1222.504741,12,1,Fox,9,IMG_0657.JPG,Thu Aug 16 2018 21:53:08 GMT+0100 (British Summer Time)
2030.334599,1217.35866,13,1,Fox,9,IMG_0658.JPG,Thu Aug 16 2018 22:04:04 GMT+0100 (British Summer Time)
2852.957356,1290.417538,14,2,Fox,5,IMG_1207.JPG,Fri Aug 17 2018 22:33:56 GMT+0100 (British Summer Time)
2617.524157,1289.131017,15,2,Fox,5,IMG_1208.JPG,Fri Aug 17 2018 22:33:58 GMT+0100 (British Summer Time)
2186.539885,1256.968012,16,2,Fox,5,IMG_1209.JPG,Fri Aug 17 2018 22:33:58 GMT+0100 (British Summer Time)
2018.005738,1247.96237,17,2,Fox,5,IMG_1210.JPG,Fri Aug 17 2018 22:34:00 GMT+0100 (British Summer Time)
1890.640236,1241.529769,18,2,Fox,5,IMG_1211.JPG,Fri Aug 17 2018 22:34:00 GMT+0100 (British Summer Time)
2109.844507,1262.061349,19,3,Fox,2,IMG_2961.JPG,Wed Aug 22 2018 21:26:44 GMT+0100 (British Summer Time)
1919.447755,1267.661254,20,3,Fox,2,IMG_2962.JPG,Wed Aug 22 2018 21:26:46 GMT+0100 (British Summer Time)
2037.150853,1348.661866,21,4,Fox,5,IMG_4486.JPG,Tue Aug 28 2018 02:47:10 GMT+0100 (British Summer Time)
2161.943314,1339.656225,22,4,Fox,5,IMG_4487.JPG,Tue Aug 28 2018 02:47:12 GMT+0100 (British Summer Time)
2397.376512,1317.785381,23,4,Fox,5,IMG_4488.JPG,Tue Aug 28 2018 02:47:14 GMT+0100 (British Summer Time)
2661.113156,1289.481937,24,4,Fox,5,IMG_4489.JPG,Tue Aug 28 2018 02:47:16 GMT+0100 (British Summer Time)
3285.281143,1249.633302,25,4,Fox,5,IMG_4490.JPG,Tue Aug 28 2018 02:47:22 GMT+0100 (British Summer Time)
2731.050017,1318.781878,26,5,Fox,6,IMG_4885.JPG,Thu Aug 30 2018 00:39:22 GMT+0100 (British Summer Time)
2491.200017,1320.731878,27,5,Fox,6,IMG_4886.JPG,Thu Aug 30 2018 00:39:24 GMT+0100 (British Summer Time)
2126.550017,1322.681878,28,5,Fox,6,IMG_4887.JPG,Thu Aug 30 2018 00:39:26 GMT+0100 (British Summer Time)
1652.700017,1355.831878,29,5,Fox,6,IMG_4888.JPG,Thu Aug 30 2018 00:39:28 GMT+0100 (British Summer Time)
1270.500017,1365.581878,30,5,Fox,6,IMG_4889.JPG,Thu Aug 30 2018 00:39:30 GMT+0100 (British Summer Time)
1050.150017,1367.531878,31,5,Fox,6,IMG_4890.JPG,Thu Aug 30 2018 00:39:32 GMT+0100 (British Summer Time)
