x,y,frame_number,sequence_id,sequence_annotation,number_of_points,filename,file_last_mod_date
1434,652,0,0,Badger,10,IMG_0294.JPG,Wed Aug 15 2018 03:47:20 GMT+0100 (British Summer Time)
1334,682,1,0,Badger,10,IMG_0295.JPG,Wed Aug 15 2018 03:47:22 GMT+0100 (British Summer Time)
1302,704,2,0,Badger,10,IMG_0296.JPG,Wed Aug 15 2018 03:47:22 GMT+0100 (British Summer Time)
1182,766,3,0,Badger,10,IMG_0297.JPG,Wed Aug 15 2018 03:47:24 GMT+0100 (British Summer Time)
1116.125732,844.1257324,4,0,Badger,10,IMG_0298.JPG,Wed Aug 15 2018 03:47:24 GMT+0100 (British Summer Time)
968,863.0942993,5,0,Badger,10,IMG_0299.JPG,Wed Aug 15 2018 03:47:24 GMT+0100 (British Summer Time)
611.597229,860.9685669,6,0,Badger,10,IMG_0300.JPG,Wed Aug 15 2018 03:47:24 GMT+0100 (British Summer Time)
465.8742676,872.1257324,7,0,Badger,10,IMG_0301.JPG,Wed Aug 15 2018 03:47:26 GMT+0100 (British Summer Time)
445.8114319,868,8,0,Badger,10,IMG_0302.JPG,Wed Aug 15 2018 03:47:26 GMT+0100 (British Summer Time)
263.2104433,897.0058603,9,0,Badger,10,IMG_0303.JPG,Wed Aug 15 2018 03:47:28 GMT+0100 (British Summer Time)
1318,684,10,1,Badger,10,IMG_0304.JPG,Wed Aug 15 2018 04:10:04 GMT+0100 (British Summer Time)
1202,702,11,1,Badger,10,IMG_0305.JPG,Wed Aug 15 2018 04:10:04 GMT+0100 (British Summer Time)
1286,724,12,1,Badger,10,IMG_0306.JPG,Wed Aug 15 2018 04:10:06 GMT+0100 (British Summer Time)
1146,878,13,1,Badger,10,IMG_0307.JPG,Wed Aug 15 2018 04:10:06 GMT+0100 (British Summer Time)
1154,884,14,1,Badger,10,IMG_0308.JPG,Wed Aug 15 2018 04:10:06 GMT+0100 (British Summer Time)
1160,884,15,1,Badger,10,IMG_0309.JPG,Wed Aug 15 2018 04:10:06 GMT+0100 (British Summer Time)
1016,1008,16,1,Badger,10,IMG_0310.JPG,Wed Aug 15 2018 04:10:08 GMT+0100 (British Summer Time)
1221.947934,1200.133843,17,1,Badger,10,IMG_0311.JPG,Wed Aug 15 2018 04:10:08 GMT+0100 (British Summer Time)
1210.460951,1264.460951,18,1,Badger,10,IMG_0312.JPG,Wed Aug 15 2018 04:10:10 GMT+0100 (British Summer Time)
1042.750991,1351.762026,19,1,Badger,10,IMG_0313.JPG,Wed Aug 15 2018 04:10:10 GMT+0100 (British Summer Time)
-278,942,20,2,Badger,14,IMG_0354.JPG,Thu Aug 16 2018 22:58:36 GMT+0100 (British Summer Time)
-288,954,21,2,Badger,14,IMG_0355.JPG,Thu Aug 16 2018 22:58:38 GMT+0100 (British Summer Time)
-208,942,22,2,Badger,14,IMG_0356.JPG,Thu Aug 16 2018 22:58:38 GMT+0100 (British Summer Time)
-196,938,23,2,Badger,14,IMG_0357.JPG,Thu Aug 16 2018 22:58:38 GMT+0100 (British Summer Time)
