x,y,frame_number,sequence_id,sequence_annotation,number_of_points,filename,file_last_mod_date
2126.867597,1125.935461,0,0,Badger,21,IMG_0271.JPG,Fri Aug 24 2018 01:02:02 GMT+0100 (British Summer Time)
2126.867597,1125.935461,1,0,Badger,21,IMG_0272.JPG,Fri Aug 24 2018 01:02:02 GMT+0100 (British Summer Time)
2099.009979,1125.935461,2,0,Badger,21,IMG_0273.JPG,Fri Aug 24 2018 01:02:02 GMT+0100 (British Summer Time)
2057.223551,1129.417664,3,0,Badger,21,IMG_0274.JPG,Fri Aug 24 2018 01:02:04 GMT+0100 (British Summer Time)
2057.223551,1129.417664,4,0,Badger,21,IMG_0275.JPG,Fri Aug 24 2018 01:02:04 GMT+0100 (British Summer Time)
2018.919327,1129.417664,5,0,Badger,21,IMG_0276.JPG,Fri Aug 24 2018 01:02:04 GMT+0100 (British Summer Time)
2018.919327,1129.417664,6,0,Badger,21,IMG_0277.JPG,Fri Aug 24 2018 01:02:06 GMT+0100 (British Summer Time)
2018.919327,1129.417664,7,0,Badger,21,IMG_0278.JPG,Fri Aug 24 2018 01:02:06 GMT+0100 (British Summer Time)
2018.919327,1129.417664,8,0,Badger,21,IMG_0279.JPG,Fri Aug 24 2018 01:02:06 GMT+0100 (British Summer Time)
2018.919327,1129.417664,9,0,Badger,21,IMG_0280.JPG,Fri Aug 24 2018 01:02:08 GMT+0100 (British Summer Time)
1555.786427,1181.650697,10,0,Badger,21,IMG_0281.JPG,Fri Aug 24 2018 01:02:12 GMT+0100 (British Summer Time)
1082.206921,1272.187956,11,0,Badger,21,IMG_0282.JPG,Fri Aug 24 2018 01:02:12 GMT+0100 (British Summer Time)
1078.724718,1272.187956,12,0,Badger,21,IMG_0283.JPG,Fri Aug 24 2018 01:02:12 GMT+0100 (British Summer Time)
1573.197438,1334.867597,13,0,Badger,21,IMG_0284.JPG,Fri Aug 24 2018 01:02:14 GMT+0100 (British Summer Time)
1660.252495,1366.207417,14,0,Badger,21,IMG_0285.JPG,Fri Aug 24 2018 01:02:14 GMT+0100 (British Summer Time)
1660.252495,1366.207417,15,0,Badger,21,IMG_0286.JPG,Fri Aug 24 2018 01:02:14 GMT+0100 (British Summer Time)
1660.252495,1366.207417,16,0,Badger,21,IMG_0287.JPG,Fri Aug 24 2018 01:02:14 GMT+0100 (British Summer Time)
1660.252495,1366.207417,17,0,Badger,21,IMG_0288.JPG,Fri Aug 24 2018 01:02:16 GMT+0100 (British Summer Time)
1709.003326,1387.10063,18,0,Badger,21,IMG_0289.JPG,Fri Aug 24 2018 01:02:16 GMT+0100 (British Summer Time)
1709.003326,1387.10063,19,0,Badger,21,IMG_0290.JPG,Fri Aug 24 2018 01:02:18 GMT+0100 (British Summer Time)
1722.932135,1387.10063,20,0,Badger,21,IMG_0291.JPG,Fri Aug 24 2018 01:02:18 GMT+0100 (British Summer Time)
-96.58923742,1173.734683,21,1,Badger,4,IMG_0451.JPG,Fri Aug 24 2018 21:28:46 GMT+0100 (British Summer Time)
1840.496535,1076.728822,22,1,Badger,4,IMG_0452.JPG,Fri Aug 24 2018 21:28:48 GMT+0100 (British Summer Time)
1843.527968,1082.791689,23,1,Badger,4,IMG_0453.JPG,Fri Aug 24 2018 21:28:50 GMT+0100 (British Summer Time)
2016.319656,1049.445924,24,1,Badger,4,IMG_0454.JPG,Fri Aug 24 2018 21:28:50 GMT+0100 (British Summer Time)
1600,1366,25,2,Badger,8,IMG_0471.JPG,Fri Aug 24 2018 23:09:52 GMT+0100 (British Summer Time)
1508,1326,26,2,Badger,8,IMG_0472.JPG,Fri Aug 24 2018 23:09:56 GMT+0100 (British Summer Time)
936,1258,27,2,Badger,8,IMG_0473.JPG,Fri Aug 24 2018 23:09:56 GMT+0100 (British Summer Time)
380,1266,28,2,Badger,8,IMG_0474.JPG,Fri Aug 24 2018 23:09:58 GMT+0100 (British Summer Time)
472,1210,29,2,Badger,8,IMG_0475.JPG,Fri Aug 24 2018 23:09:58 GMT+0100 (British Summer Time)
928,1014,30,2,Badger,8,IMG_0476.JPG,Fri Aug 24 2018 23:10:00 GMT+0100 (British Summer Time)
1408,1014,31,2,Badger,8,IMG_0477.JPG,Fri Aug 24 2018 23:10:00 GMT+0100 (British Summer Time)
1928,946,32,2,Badger,8,IMG_0478.JPG,Fri Aug 24 2018 23:10:02 GMT+0100 (British Summer Time)
2080.786505,1205.58449,36,3,Badger,4,IMG_0551.JPG,Mon Aug 27 2018 21:55:00 GMT+0100 (British Summer Time)
2017.126409,1202.553057,37,3,Badger,4,IMG_0552.JPG,Mon Aug 27 2018 21:55:02 GMT+0100 (British Summer Time)
1710.951663,1241.961688,38,3,Badger,4,IMG_0553.JPG,Mon Aug 27 2018 21:55:02 GMT+0100 (British Summer Time)
271.0209244,1160.112993,39,3,Badger,4,IMG_0554.JPG,Mon Aug 27 2018 21:55:02 GMT+0100 (British Summer Time)
2223.107283,1111.437124,40,4,Badger,5,IMG_0581.JPG,Tue Aug 28 2018 21:17:30 GMT+0100 (British Summer Time)
2111.676811,1121.883731,41,4,Badger,5,IMG_0582.JPG,Tue Aug 28 2018 21:17:30 GMT+0100 (British Summer Time)
1126.213573,1275.10063,42,4,Badger,5,IMG_0583.JPG,Tue Aug 28 2018 21:17:30 GMT+0100 (British Summer Time)
1108.802562,1275.10063,43,4,Badger,5,IMG_0584.JPG,Tue Aug 28 2018 21:17:32 GMT+0100 (British Summer Time)
46.73087447,1289.029439,44,4,Badger,5,IMG_0585.JPG,Tue Aug 28 2018 21:17:34 GMT+0100 (British Summer Time)
1751.021063,1313.421876,45,5,Badger,5,IMG_0591.JPG,Tue Aug 28 2018 22:03:26 GMT+0100 (British Summer Time)
1760.21065,1276.663529,46,5,Badger,5,IMG_0592.JPG,Tue Aug 28 2018 22:03:26 GMT+0100 (British Summer Time)
