x,y,frame_number,sequence_id,sequence_annotation,number_of_points,filename,file_last_mod_date
484.8,1318.4,0,0,Fox,8,IMG_0182.JPG,Wed Aug 15 2018 04:33:48 GMT+0100 (British Summer Time)
1348.8,1294.4,1,0,Fox,8,IMG_0183.JPG,Wed Aug 15 2018 04:33:50 GMT+0100 (British Summer Time)
2414.4,1188.8,2,0,Fox,8,IMG_0184.JPG,Wed Aug 15 2018 04:33:50 GMT+0100 (British Summer Time)
2966.4,1107.2,3,0,Fox,8,IMG_0185.JPG,Wed Aug 15 2018 04:33:50 GMT+0100 (British Summer Time)
3505.791775,1021.198172,4,0,Fox,8,IMG_0186.JPG,Wed Aug 15 2018 04:33:52 GMT+0100 (British Summer Time)
3632.464534,1021.198172,5,0,Fox,8,IMG_0187.JPG,Wed Aug 15 2018 04:33:52 GMT+0100 (British Summer Time)
3632.464534,1021.198172,6,0,Fox,8,IMG_0188.JPG,Wed Aug 15 2018 04:33:54 GMT+0100 (British Summer Time)
4674.347981,970.5290684,7,0,Fox,8,IMG_0189.JPG,Wed Aug 15 2018 04:33:54 GMT+0100 (British Summer Time)
3273.863635,1315.044304,8,1,Fox,3,IMG_0219.JPG,Thu Aug 16 2018 01:15:52 GMT+0100 (British Summer Time)
1718.663635,1315.044304,9,1,Fox,3,IMG_0220.JPG,Thu Aug 16 2018 01:15:52 GMT+0100 (British Summer Time)
-1093.471625,1372.047046,10,1,Fox,3,IMG_0221.JPG,Thu Aug 16 2018 01:15:54 GMT+0100 (British Summer Time)
