x,y,frame_number,sequence_id,sequence_annotation,number_of_points,filename,file_last_mod_date
-27.3,1215.5,0,0,Badger,13,IMG_0115.JPG,Wed Aug 29 2018 04:44:18 GMT+0100 (British Summer Time)
50.7,1301.3,1,0,Badger,13,IMG_0116.JPG,Wed Aug 29 2018 04:44:18 GMT+0100 (British Summer Time)
81.9,1285.7,2,0,Badger,13,IMG_0117.JPG,Wed Aug 29 2018 04:44:20 GMT+0100 (British Summer Time)
237.9,1391,3,0,Badger,13,IMG_0118.JPG,Wed Aug 29 2018 04:44:20 GMT+0100 (British Summer Time)
643.5,1426.1,4,0,Badger,13,IMG_0119.JPG,Wed Aug 29 2018 04:44:22 GMT+0100 (British Summer Time)
1072.5,1383.2,5,0,Badger,13,IMG_0120.JPG,Wed Aug 29 2018 04:44:22 GMT+0100 (British Summer Time)
1255.8,1418.3,6,0,Badger,13,IMG_0121.JPG,Wed Aug 29 2018 04:44:22 GMT+0100 (British Summer Time)
3247.858527,1499.359083,7,0,Badger,13,IMG_0122.JPG,Wed Aug 29 2018 04:44:28 GMT+0100 (British Summer Time)
3247.858527,1499.359083,8,0,Badger,13,IMG_0123.JPG,Wed Aug 29 2018 04:44:30 GMT+0100 (British Summer Time)
3247.858527,1499.359083,9,0,Badger,13,IMG_0124.JPG,Wed Aug 29 2018 04:44:30 GMT+0100 (British Summer Time)
3176.17975,1490.399236,10,0,Badger,13,IMG_0125.JPG,Wed Aug 29 2018 04:44:32 GMT+0100 (British Summer Time)
3176.17975,1490.399236,11,0,Badger,13,IMG_0126.JPG,Wed Aug 29 2018 04:44:32 GMT+0100 (British Summer Time)
3973.606148,1445.6,12,0,Badger,13,IMG_0127.JPG,Wed Aug 29 2018 04:44:36 GMT+0100 (British Summer Time)
2663.7,1527.5,13,1,Fox,5,IMG_0130.JPG,Wed Aug 29 2018 05:40:46 GMT+0100 (British Summer Time)
2137.2,1504.1,14,1,Fox,5,IMG_0131.JPG,Wed Aug 29 2018 05:40:48 GMT+0100 (British Summer Time)
2609.1,1207.7,15,1,Fox,5,IMG_0132.JPG,Wed Aug 29 2018 05:40:48 GMT+0100 (British Summer Time)
2741.7,1071.2,16,1,Fox,5,IMG_0133.JPG,Wed Aug 29 2018 05:40:50 GMT+0100 (British Summer Time)
2277.6,891.8,17,1,Fox,5,IMG_0134.JPG,Wed Aug 29 2018 05:40:50 GMT+0100 (British Summer Time)
4965.895423,4430.54718,18,2,Fox,5,IMG_0135.JPG,Wed Aug 29 2018 05:41:34 GMT+0100 (British Summer Time)
213.2145575,3130.062366,19,2,Fox,5,IMG_0136.JPG,Wed Aug 29 2018 05:41:34 GMT+0100 (British Summer Time)
1404.582818,1806.860934,20,2,Fox,5,IMG_0137.JPG,Wed Aug 29 2018 05:41:36 GMT+0100 (British Summer Time)
1295.938108,1772.909462,21,2,Fox,5,IMG_0138.JPG,Wed Aug 29 2018 05:41:36 GMT+0100 (British Summer Time)
-388.0549021,1542.039453,22,2,Fox,5,IMG_0139.JPG,Wed Aug 29 2018 05:41:36 GMT+0100 (British Summer Time)
2640.416397,1209.315028,23,3,Fox,2,IMG_0140.JPG,Wed Aug 29 2018 05:41:54 GMT+0100 (British Summer Time)
868.1495607,1222.895616,24,3,Fox,2,IMG_0141.JPG,Wed Aug 29 2018 05:41:54 GMT+0100 (British Summer Time)
2748.050937,1033.889645,25,4,Badger,2,IMG_0188.JPG,Wed Aug 29 2018 22:36:48 GMT+0100 (British Summer Time)
2755.850937,1037.789645,26,4,Badger,2,IMG_0189.JPG,Wed Aug 29 2018 22:36:50 GMT+0100 (British Summer Time)
3681.6,1703,27,5,Badger,8,IMG_0216.JPG,Thu Aug 30 2018 03:07:30 GMT+0100 (British Summer Time)
2964,1640.6,28,5,Badger,8,IMG_0217.JPG,Thu Aug 30 2018 03:07:30 GMT+0100 (British Summer Time)
2031.9,1558.7,29,5,Badger,8,IMG_0218.JPG,Thu Aug 30 2018 03:07:32 GMT+0100 (British Summer Time)
1634.1,1504.1,30,5,Badger,8,IMG_0219.JPG,Thu Aug 30 2018 03:07:32 GMT+0100 (British Summer Time)
1255.8,1472.9,31,5,Badger,8,IMG_0220.JPG,Thu Aug 30 2018 03:07:34 GMT+0100 (British Summer Time)
483.6,1414.4,32,5,Badger,8,IMG_0221.JPG,Thu Aug 30 2018 03:07:34 GMT+0100 (British Summer Time)
-42.9,1285.7,33,5,Badger,8,IMG_0222.JPG,Thu Aug 30 2018 03:07:34 GMT+0100 (British Summer Time)
-89.7,1223.3,34,5,Badger,8,IMG_0223.JPG,Thu Aug 30 2018 03:07:36 GMT+0100 (British Summer Time)
2964,1309.1,35,6,Fox,2,IMG_0335.JPG,Sun Sep 02 2018 03:12:30 GMT+0100 (British Summer Time)
3256.5,1519.7,36,6,Fox,2,IMG_0336.JPG,Sun Sep 02 2018 03:12:30 GMT+0100 (British Summer Time)
4697.027141,3082.123874,37,7,Fox,6,IMG_0338.JPG,Sun Sep 02 2018 03:16:46 GMT+0100 (British Summer Time)
4734.37376,3068.543285,38,7,Fox,6,IMG_0339.JPG,Sun Sep 02 2018 03:16:46 GMT+0100 (British Summer Time)
4714.002877,2858.044159,39,7,Fox,6,IMG_0340.JPG,Sun Sep 02 2018 03:16:48 GMT+0100 (British Summer Time)
3328.78282,1479.614397,40,7,Fox,6,IMG_0341.JPG,Sun Sep 02 2018 03:16:48 GMT+0100 (British Summer Time)
2867.042801,1309.857037,41,7,Fox,6,IMG_0342.JPG,Sun Sep 02 2018 03:16:48 GMT+0100 (British Summer Time)
2656.266927,1055.466092,42,7,Fox,6,IMG_0343.JPG,Sun Sep 02 2018 03:16:50 GMT+0100 (British Summer Time)
3494.63268,1696.883225,43,8,Fox,5,IMG_0344.JPG,Sun Sep 02 2018 03:19:26 GMT+0100 (British Summer Time)
2710.646053,1495.286663,44,8,Fox,5,IMG_0345.JPG,Sun Sep 02 2018 03:19:26 GMT+0100 (British Summer Time)
2302.973007,1293.690102,45,8,Fox,5,IMG_0346.JPG,Sun Sep 02 2018 03:19:26 GMT+0100 (British Summer Time)
2589.688116,1038.334458,46,8,Fox,5,IMG_0347.JPG,Sun Sep 02 2018 03:19:28 GMT+0100 (British Summer Time)
2459.770332,791.9386604,47,8,Fox,5,IMG_0348.JPG,Sun Sep 02 2018 03:19:28 GMT+0100 (British Summer Time)
3597.670923,1401.208268,48,9,Badger,8,IMG_0370.JPG,Mon Sep 03 2018 05:42:44 GMT+0100 (British Summer Time)
3508.072451,1392.248421,49,9,Badger,8,IMG_0371.JPG,Mon Sep 03 2018 05:42:44 GMT+0100 (British Summer Time)
3508.072451,1392.248421,50,9,Badger,8,IMG_0372.JPG,Mon Sep 03 2018 05:42:44 GMT+0100 (British Summer Time)
3508.072451,1392.248421,51,9,Badger,8,IMG_0373.JPG,Mon Sep 03 2018 05:42:46 GMT+0100 (British Summer Time)
3396.074361,1410.168115,52,9,Badger,8,IMG_0374.JPG,Mon Sep 03 2018 05:42:46 GMT+0100 (British Summer Time)
2921.202461,1378.80865,53,9,Badger,8,IMG_0375.JPG,Mon Sep 03 2018 05:42:46 GMT+0100 (British Summer Time)
2518.009339,1347.449185,54,9,Badger,8,IMG_0376.JPG,Mon Sep 03 2018 05:42:48 GMT+0100 (British Summer Time)
2204.414688,1307.129873,55,9,Badger,8,IMG_0377.JPG,Mon Sep 03 2018 05:42:48 GMT+0100 (British Summer Time)
