x,y,frame_number,sequence_id,sequence_annotation,number_of_points,filename,file_last_mod_date
2886,1788.8,0,0,Badger,2,IMG_2081.JPG,Fri Sep 07 2018 04:39:14 GMT+0100 (British Summer Time)
468,2061.8,1,0,Badger,2,IMG_2082.JPG,Fri Sep 07 2018 04:39:18 GMT+0100 (British Summer Time)
2256.798787,987.7015972,2,1,Badger,2,IMG_2295.JPG,Sat Sep 08 2018 02:16:48 GMT+0100 (British Summer Time)
2331.837478,1000.021414,3,1,Badger,2,IMG_2296.JPG,Sat Sep 08 2018 02:16:48 GMT+0100 (British Summer Time)
1720.828778,1361.475477,4,2,Fox,2,IMG_2494.JPG,Sun Sep 09 2018 02:22:22 GMT+0100 (British Summer Time)
960.315806,1388.636655,5,2,Fox,2,IMG_2495.JPG,Sun Sep 09 2018 02:22:24 GMT+0100 (British Summer Time)
